Primary_ID	Seconday_ID	Rule_Name	Severity	Category	Rule_Type	Cloud_Provider	Description	Service	CVS_Rule_ID	Terraform_URL
1.35.2.1	1.35.2	app_gateway_is_not_using_https_for_encryption	high	Data Protection	custom	azure	Ensure data is encrypted during transit from and to the App gateway	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13521	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#backend_http_settings_name
1.35.3.1	1.35.3	app_gateway_is_not_using_private_ip_for_frontend_configuration	high	Network Security	custom	azure	Use Private IP address only frontend IP configuration	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13531	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#private_ip_address
1.35.3.8	1.35.3	app_gateway_does_not_have_waf_enabled	low	Network Security	custom	azure	Azure Application Gateway does not have the Web application firewall enabled	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13538	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#waf_configuration
1.35.3.9	1.35.3	app_gateway_waf_policy_is_not_enabled_for_prevention_mode	low	Network Security	custom	azure	Azure Application Gateway WAF Policy is not enabled for Prevention mode	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13539	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#firewall_mode
1.35.3.10	1.35.3	app_gateway_waf_policy_rule_for_remote_execution_is_not_enabled	low	Network Security	custom	azure	Azure Application Gateway WAF policy rule for remote execution is not enabled	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-135310	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/web_application_firewall_policy#enabled
2.20.5.2	2.20.5	cloudfunction_is_deployed_in_unapproved_locations	medium	Governance	custom	gcp	Ensure functions are deployed in valid approved location	CLOUDFUNCTION	CSE-PC-GCP-CLOUDFUNCTION-22052	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/cloudfunctions2_function#location
2.20.3.1	2.20.3	cloudfunction_ingress_setting_is_not_set_allow_internal_only	critical	Network Security	custom	gcp	Required ingress_settings ALLOW_INTERNAL_ONLY	CLOUDFUNCTION	CSE-PC-GCP-CLOUDFUNCTION-22031	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/cloudfunctions2_function#ingress_settings
2.20.2.1	2.20.2	cloudfunction_is_missing_to_encrypt_with_cmek	high	Data Protection	custom	gcp	Data encryption at rest using CMEK	CLOUDFUNCTION	CSE-PC-GCP-CLOUDFUNCTION-22021	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/cloudfunctions2_function#kms_key_name
2.20.1.2	2.20.1	cloudfunction_is_using_default_service_account	critical	IAM	custom	gcp	Ensure User-managed service accounts is required as the deployment agent default service accounts Must not be used	CLOUDFUNCTION	CSE-PC-GCP-CLOUDFUNCTION-22012	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/cloudfunctions2_function#service_account
2.20.3.2	2.20.3	cloudfunction_vpc_egress_setting_is_not_set_to_all_traffic	high	Network Security	custom	gcp	Egress VPC connectors should be built in host VPC and shared where there is a need for the function to access resources within the VPC for ALL traffic	CLOUDFUNCTION	CSE-PC-GCP-CLOUDFUNCTION-22032	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/cloudfunctions2_function#vpc_connector_egress_settings
2.6.2.7	2.6.2	compute_vlan_attachment_is_not_encrypted_with_ipsec	critical	Data Protection	custom	gcp	Ensure that only IPSEC VLAN attachment encryption setting is allowed	COMPUTE	CSE-PC-GCP-COMPUTEENGINE-2627	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/compute_interconnect_attachment#encryption
2.6.5.1	2.6.5	compute_engine_is_missing_labels	low	Governance	custom	gcp	IT Hygiene Compute Instances must be labelled per standards	COMPUTE	CSE-PC-GCP-COMPUTEENGINE-2651	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/compute_instance#labels
2.32.1.1	2.32.1	redis_instance_auth_is_not_enabled	critical	IAM	custom	gcp	Make sure Redis Auth is enabled and Auth String is generated	REDIS	CSE-PC-GCP-REDISINSTANCE-23211	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/redis_instance#auth_enabled
2.32.2.3	2.32.2	redis_instance_intransit_encryption_is_not_enabled_using_tls	critical	Data Protection	custom	gcp	Make sure Redis in-Transit encryption is enabled using TLS	REDIS	CSE-PC-GCP-REDISINSTANCE-23223	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/redis_instance#transit_encryption_mode
2.32.5.1	2.32.5	redis_instance_is_deployed_in_unapproved_locations	medium	Governance	custom	gcp	Ensure that redis instance are created in approved CVSH resource locations	REDIS	CSE-PC-GCP-REDISINSTANCE-23251	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/redis_instance#location_id
2.32.3.3	2.32.3	redis_instance_is_deployed_with_direct_peering_connection	critical	Network Security	custom	gcp	Ensure that Direct Peering is NOT allowed Only Private Service Access connection should be used	REDIS	CSE-PC-GCP-REDISINSTANCE-23233	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/redis_instance#connect_mode
2.32.2.1	2.32.2	redis_instance_is_missing_cmek	critical	Data Protection	custom	gcp	Ensure CVSH Standard CMEK required on all redis instances for data-at-rest not applicable for redis cluster	REDIS	CSE-PC-GCP-REDISINSTANCE-23221	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/redis_instance#customer_managed_key
1.6.3.2	1.6.3	app_configuration_access_is_not_limited_to_private_endpoint	critical	Network Security	custom	azure	Limit access through private endpoint	APP_CONFIGURATION	CSE-PC-AZURE-APPCONFIGURATION-1632	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/private_endpoint
1.6.5.1	1.6.5	app_configuration_is_missing_tags	low	Governance	custom	azure	IT Hygiene App Configuration must be tagged per standards	APP_CONFIGURATION	CSE-PC-AZURE-APPCONFIGURATION-1651	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_configuration#tags-1
1.6.1.4	1.6.1	app_configuration_is_using_local_authentication	high	IAM	custom	azure	App Configuration Using Local Authentication	APP_CONFIGURATION	CSE-PC-AZURE-APPCONFIGURATION-1614	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_configuration#local_auth_enabled-1
1.6.3.1	1.6.3	app_configuration_public_network_access_is_enabled	critical	Network Security	custom	azure	Disable public access to Azure App Configuration	APP_CONFIGURATION	CSE-PC-AZURE-APPCONFIGURATION-1631	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_configuration#public_network_access-1
1.6.5.2	1.6.5	app_configuration_sku_is_using_free_tier	medium	Governance	custom	azure	Free tier is not allowed	APP_CONFIGURATION	CSE-PC-AZURE-APPCONFIGURATION-1652	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_configuration#sku-1
2.49.5.2	2.49.5	datastream_is_deployed_in_unapproved_locations	medium	Governance	custom	gcp	Datastream must deployed in appoved regions	DATASTREAM	CSE-PC-GCP-DATASTREAM-24952	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/datastream_stream#location-9
2.49.2.1	2.49.2	datastream_is_missing_cmek	critical	Data Protection	custom	gcp	CMEK required on all instances for data-at-rest	DATASTREAM	CSE-PC-GCP-DATASTREAM-24921	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/datastream_stream#customer_managed_encryption_key-1
2.49.5.1	2.49.5	datastream_is_missing_required_labels	low	Governance	custom	gcp	Use tags to organize datastream resources	DATASTREAM	CSE-PC-GCP-DATASTREAM-24951	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/datastream_stream#labels-1
1.6.2.1	1.6.2	app_configuration_is_not_encrypted_data_at_rest_in_transit	high	Data Protection	custom	azure	Data is encrypted during transit from to the Azure App Configuration	APP_CONFIGURATION	CSE-PC-AZURE-APPCONFIGURATION-1621	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_configuration#encryption-1
